z_m,h_m,t_hr
-0.0,-0.972,1155.0
0.0242,-0.95,1155.0
0.0483,-0.93,1155.0
0.0725,-0.912,1155.0
0.0966,-0.894,1155.0
0.1208,-0.878,1155.0
0.1449,-0.862,1155.0
0.1691,-0.848,1155.0
0.1932,-0.834,1155.0
0.2174,-0.82,1155.0
0.2415,-0.808,1155.0
0.2657,-0.795,1155.0
0.2898,-0.784,1155.0
0.314,-0.773,1155.0
0.3382,-0.762,1155.0
0.3623,-0.752,1155.0
0.3865,-0.742,1155.0
0.4106,-0.732,1155.0
0.4348,-0.723,1155.0
0.4589,-0.713,1155.0
0.4831,-0.705,1155.0
0.5072,-0.696,1155.0
0.5314,-0.687,1155.0
0.5555,-0.679,1155.0
0.5797,-0.671,1155.0
0.6038,-0.664,1155.0
0.628,-0.656,1155.0
0.6522,-0.649,1155.0
0.6763,-0.642,1155.0
0.7005,-0.635,1155.0
0.7246,-0.628,1155.0
0.7488,-0.622,1155.0
0.7729,-0.616,1155.0
0.7971,-0.61,1155.0
0.8212,-0.604,1155.0
0.8454,-0.598,1155.0
0.8695,-0.593,1155.0
0.8937,-0.588,1155.0
0.9178,-0.582,1155.0
0.942,-0.577,1155.0
0.9662,-0.572,1155.0
0.9903,-0.567,1155.0
1.0145,-0.562,1155.0
1.0386,-0.557,1155.0
1.0628,-0.552,1155.0
1.0869,-0.547,1155.0
1.1111,-0.543,1155.0
1.1352,-0.538,1155.0
1.1594,-0.534,1155.0
1.1835,-0.53,1155.0
1.2077,-0.525,1155.0
1.2319,-0.521,1155.0
1.256,-0.517,1155.0
1.2802,-0.513,1155.0
1.3043,-0.51,1155.0
1.3285,-0.506,1155.0
1.3526,-0.502,1155.0
1.3768,-0.499,1155.0
1.4009,-0.495,1155.0
1.4251,-0.492,1155.0
1.4492,-0.489,1155.0
1.4734,-0.486,1155.0
1.4975,-0.483,1155.0
1.5217,-0.48,1155.0
1.5459,-0.477,1155.0
1.57,-0.474,1155.0
1.5941,-0.471,1155.0
1.6183,-0.469,1155.0
1.6425,-0.466,1155.0
1.6666,-0.463,1155.0
1.6908,-0.461,1155.0
1.7149,-0.458,1155.0
1.7391,-0.455,1155.0
1.7632,-0.453,1155.0
1.7874,-0.45,1155.0
1.8115,-0.447,1155.0
1.8357,-0.445,1155.0
1.8599,-0.442,1155.0
1.884,-0.44,1155.0
1.9081,-0.437,1155.0
1.9323,-0.435,1155.0
1.9565,-0.432,1155.0
1.9806,-0.43,1155.0
2.0048,-0.427,1155.0
2.0289,-0.425,1155.0
2.0531,-0.423,1155.0
2.0772,-0.42,1155.0
2.1014,-0.418,1155.0
2.1255,-0.416,1155.0
2.1497,-0.414,1155.0
2.1739,-0.412,1155.0
2.198,-0.41,1155.0
2.2222,-0.407,1155.0
2.2463,-0.405,1155.0
2.2705,-0.403,1155.0
2.2946,-0.402,1155.0
2.3188,-0.4,1155.0
2.3429,-0.398,1155.0
2.3671,-0.396,1155.0
2.3912,-0.394,1155.0
2.4154,-0.393,1155.0
2.4395,-0.391,1155.0
2.4637,-0.389,1155.0
2.4878,-0.388,1155.0
2.512,-0.386,1155.0
2.5361,-0.384,1155.0
2.5603,-0.383,1155.0
2.5845,-0.382,1155.0
2.6086,-0.38,1155.0
2.6328,-0.379,1155.0
2.6569,-0.377,1155.0
2.6811,-0.376,1155.0
2.7052,-0.375,1155.0
2.7294,-0.373,1155.0
2.7535,-0.372,1155.0
2.7777,-0.371,1155.0
2.8019,-0.369,1155.0
2.826,-0.368,1155.0
2.8502,-0.367,1155.0
2.8743,-0.365,1155.0
2.8985,-0.364,1155.0
2.9226,-0.363,1155.0
2.9468,-0.361,1155.0
2.9709,-0.36,1155.0
2.9951,-0.358,1155.0
3.0192,-0.357,1155.0
3.0434,-0.356,1155.0
3.0917,-0.353,1155.0
3.14,-0.35,1155.0
3.1883,-0.348,1155.0
3.2366,-0.345,1155.0
3.2849,-0.342,1155.0
3.3332,-0.34,1155.0
3.3816,-0.337,1155.0
3.4299,-0.334,1155.0
3.4782,-0.332,1155.0
3.5265,-0.33,1155.0
3.5748,-0.327,1155.0
3.6231,-0.325,1155.0
3.6714,-0.323,1155.0
3.7197,-0.32,1155.0
3.768,-0.318,1155.0
3.8163,-0.316,1155.0
3.8646,-0.314,1155.0
3.913,-0.312,1155.0
3.9613,-0.31,1155.0
4.0096,-0.309,1155.0
4.0579,-0.307,1155.0
4.1062,-0.305,1155.0
4.1545,-0.304,1155.0
4.2028,-0.302,1155.0
4.2511,-0.301,1155.0
4.2994,-0.299,1155.0
4.3477,-0.298,1155.0
4.396,-0.297,1155.0
4.4443,-0.295,1155.0
4.4927,-0.294,1155.0
4.541,-0.292,1155.0
4.5893,-0.291,1155.0
4.6376,-0.289,1155.0
4.6859,-0.288,1155.0
4.7342,-0.286,1155.0
4.7825,-0.285,1155.0
4.8308,-0.283,1155.0
4.8791,-0.281,1155.0
4.9274,-0.28,1155.0
4.9757,-0.278,1155.0
5.0241,-0.277,1155.0
5.0724,-0.275,1155.0
5.1207,-0.273,1155.0
5.169,-0.272,1155.0
5.2173,-0.27,1155.0
5.2656,-0.269,1155.0
5.3139,-0.267,1155.0
5.3622,-0.265,1155.0
5.4105,-0.264,1155.0
5.4588,-0.262,1155.0
5.5071,-0.261,1155.0
5.5554,-0.259,1155.0
5.6038,-0.258,1155.0
5.6521,-0.257,1155.0
5.7004,-0.255,1155.0
5.7487,-0.254,1155.0
5.797,-0.253,1155.0
5.8453,-0.251,1155.0
5.8936,-0.25,1155.0
5.9419,-0.249,1155.0
5.9902,-0.248,1155.0
6.0385,-0.247,1155.0
6.0869,-0.245,1155.0
6.1352,-0.244,1155.0
6.1835,-0.243,1155.0
6.2318,-0.242,1155.0
6.2801,-0.242,1155.0
6.3284,-0.241,1155.0
6.3767,-0.24,1155.0
6.425,-0.239,1155.0
6.4733,-0.238,1155.0
6.5216,-0.238,1155.0
6.5699,-0.237,1155.0
6.6182,-0.236,1155.0
6.6666,-0.236,1155.0
6.7149,-0.235,1155.0
