t_hours,Rain_m_hr
1.0,7.217e-05
2.0,4.511e-05
3.0,2.706e-05
4.0,2.706e-05
5.0,2.706e-05
6.0,4.511e-05
7.0,6.315e-05
8.0,9.021e-05
9.0,0.00016238
10.0,0.0002526
11.0,0.00037889
12.0,0.00051421
13.0,0.00060442
14.0,0.00069464
15.0,0.00081191
16.0,0.00090213
17.0,0.00085702
18.0,0.00079387
19.0,0.00070366
20.0,0.00056834
21.0,0.00038791
22.0,0.0002526
23.0,0.00013532
24.0,7.217e-05
25.0,0.0
26.0,0.0
27.0,0.0
28.0,0.0
29.0,0.0
30.0,0.0
31.0,0.0
32.0,0.0
33.0,0.0
34.0,0.0
35.0,0.0
36.0,0.0
37.0,0.0
38.0,0.0
39.0,0.0
40.0,0.0
41.0,0.0
42.0,0.0
43.0,0.0
44.0,0.0
45.0,0.0
46.0,0.0
47.0,0.0
48.0,0.0
49.0,0.00011028
50.0,6.893e-05
51.0,4.136e-05
52.0,4.136e-05
53.0,4.136e-05
54.0,6.893e-05
55.0,9.65e-05
56.0,0.00013785
57.0,0.00024814
58.0,0.00038599
59.0,0.00057898
60.0,0.00078576
61.0,0.00092362
62.0,0.00106147
63.0,0.00124068
64.0,0.00137853
65.0,0.00130961
66.0,0.00121311
67.0,0.00107526
68.0,0.00086848
69.0,0.00059277
70.0,0.00038599
71.0,0.00020678
72.0,0.00011028
73.0,0.0002067
74.0,0.00012919
75.0,7.751e-05
76.0,7.751e-05
77.0,7.751e-05
78.0,0.00012919
79.0,0.00018086
80.0,0.00025837
81.0,0.00046507
82.0,0.00072345
83.0,0.00108517
84.0,0.00147273
85.0,0.00173111
86.0,0.00198948
87.0,0.00232537
88.0,0.00258374
89.0,0.00245455
90.0,0.00227369
91.0,0.00201532
92.0,0.00162776
93.0,0.00111101
94.0,0.00072345
95.0,0.00038756
96.0,0.0002067
97.0,0.00074077
98.0,0.00046298
99.0,0.00027779
100.0,0.00027779
101.0,0.00027779
102.0,0.00046298
103.0,0.00064817
104.0,0.00092596
105.0,0.00166673
106.0,0.00259269
107.0,0.00388904
108.0,0.00527798
109.0,0.00620394
110.0,0.00712991
111.0,0.00833366
112.0,0.00925962
113.0,0.00879664
114.0,0.00814846
115.0,0.0072225
116.0,0.00583356
117.0,0.00398164
118.0,0.00259269
119.0,0.00138894
120.0,0.00074077
121.0,6.12e-05
122.0,3.825e-05
123.0,2.295e-05
124.0,2.295e-05
125.0,2.295e-05
126.0,3.825e-05
127.0,5.355e-05
128.0,7.65e-05
129.0,0.00013771
130.0,0.00021421
131.0,0.00032132
132.0,0.00043607
133.0,0.00051257
134.0,0.00058908
135.0,0.00068853
136.0,0.00076504
137.0,0.00072679
138.0,0.00067323
139.0,0.00059673
140.0,0.00048197
141.0,0.00032897
142.0,0.00021421
143.0,0.00011476
144.0,6.12e-05
145.0,0.00070556
146.0,0.00044097
147.0,0.00026458
148.0,0.00026458
149.0,0.00026458
150.0,0.00044097
151.0,0.00061736
152.0,0.00088194
153.0,0.0015875
154.0,0.00246945
155.0,0.00370417
156.0,0.00502709
157.0,0.00590903
158.0,0.00679097
159.0,0.0079375
160.0,0.00881945
161.0,0.00837848
162.0,0.00776111
163.0,0.00687917
164.0,0.00555625
165.0,0.00379236
166.0,0.00246945
167.0,0.00132292
168.0,0.00070556
169.0,0.0
170.0,0.0
171.0,0.0
172.0,0.0
173.0,0.0
174.0,0.0
175.0,0.0
176.0,0.0
177.0,0.0
178.0,0.0
179.0,0.0
180.0,0.0
181.0,0.0
182.0,0.0
183.0,0.0
184.0,0.0
185.0,0.0
186.0,0.0
187.0,0.0
188.0,0.0
189.0,0.0
190.0,0.0
191.0,0.0
192.0,0.0
193.0,0.00109528
194.0,0.00068455
195.0,0.00041073
196.0,0.00041073
197.0,0.00041073
198.0,0.00068455
199.0,0.00095837
200.0,0.0013691
201.0,0.00246437
202.0,0.00383347
203.0,0.00575021
204.0,0.00780385
205.0,0.00917295
206.0,0.01054204
207.0,0.01232187
208.0,0.01369097
209.0,0.01300642
210.0,0.01204805
211.0,0.01067895
212.0,0.00862531
213.0,0.00588712
214.0,0.00383347
215.0,0.00205365
216.0,0.00109528
217.0,2.252e-05
218.0,1.408e-05
219.0,8.45e-06
220.0,8.45e-06
221.0,8.45e-06
222.0,1.408e-05
223.0,1.971e-05
224.0,2.815e-05
225.0,5.067e-05
226.0,7.882e-05
227.0,0.00011823
228.0,0.00016046
229.0,0.00018861
230.0,0.00021676
231.0,0.00025336
232.0,0.00028151
233.0,0.00026743
234.0,0.00024773
235.0,0.00021958
236.0,0.00017735
237.0,0.00012105
238.0,7.882e-05
239.0,4.223e-05
240.0,2.252e-05
241.0,0.00029388
242.0,0.00018368
243.0,0.00011021
244.0,0.00011021
245.0,0.00011021
246.0,0.00018368
247.0,0.00025715
248.0,0.00036735
249.0,0.00066124
250.0,0.00102859
251.0,0.00154289
252.0,0.00209392
253.0,0.00246127
254.0,0.00282862
255.0,0.00330618
256.0,0.00367354
257.0,0.00348986
258.0,0.00323271
259.0,0.00286536
260.0,0.00231433
261.0,0.00157962
262.0,0.00102859
263.0,0.00055103
264.0,0.00029388
265.0,0.00034412
266.0,0.00021507
267.0,0.00012904
268.0,0.00012904
269.0,0.00012904
270.0,0.00021507
271.0,0.0003011
272.0,0.00043015
273.0,0.00077427
274.0,0.00120442
275.0,0.00180662
276.0,0.00245185
277.0,0.002882
278.0,0.00331215
279.0,0.00387134
280.0,0.00430149
281.0,0.00408641
282.0,0.00378531
283.0,0.00335516
284.0,0.00270994
285.0,0.00184964
286.0,0.00120442
287.0,0.00064522
288.0,0.00034412
289.0,0.0
290.0,0.0
291.0,0.0
292.0,0.0
293.0,0.0
294.0,0.0
295.0,0.0
296.0,0.0
297.0,0.0
298.0,0.0
299.0,0.0
300.0,0.0
301.0,0.0
302.0,0.0
303.0,0.0
304.0,0.0
305.0,0.0
306.0,0.0
307.0,0.0
308.0,0.0
309.0,0.0
310.0,0.0
311.0,0.0
312.0,0.0
313.0,0.0
314.0,0.0
315.0,0.0
316.0,0.0
317.0,0.0
318.0,0.0
319.0,0.0
320.0,0.0
321.0,0.0
322.0,0.0
323.0,0.0
324.0,0.0
325.0,0.0
326.0,0.0
327.0,0.0
328.0,0.0
329.0,0.0
330.0,0.0
331.0,0.0
332.0,0.0
333.0,0.0
334.0,0.0
335.0,0.0
336.0,0.0
337.0,0.0
338.0,0.0
339.0,0.0
340.0,0.0
341.0,0.0
342.0,0.0
